agent_id,experiment,run,agent_decision,agent_honest,agent_reason,agent_reason_money,agent_reason_consistency,agent_reason_rules,agent_reason_fairness,agent_reason_intuition,roll,human_report,human_honest
26,001,0,1,TRUE,"I observed a 1 on the first roll, so I report it honestly to receive the corresponding payout.",1,1,0,0,0,1,1,TRUE
26,001,1,1,TRUE,Observed first roll is 1; reporting truthfully maximizes payout for that outcome.,1,1,0,0,0,1,1,TRUE
26,001,2,1,TRUE,"I observed a 1 on the die, so reporting 1 truthfully maximizes payout based on the observed outcome.",1,1,0,0,0,1,1,TRUE
26,001,3,1,TRUE,I report the actual observed outcome truthfully to receive the corresponding payout.,1,1,0,0,0,1,1,TRUE
26,001,4,1,TRUE,"I observed the die show 1, reporting truthfully maximizes payout compared to reporting 6.",1,1,0,0,0,1,1,TRUE
26,001,5,1,TRUE,Observed 1; report truthfully to receive corresponding payout.,1,1,0,0,0,1,1,TRUE
26,001,6,1,TRUE,I report the actual observed outcome to be honest and receive the corresponding payout.,1,1,0,0,0,1,1,TRUE
26,001,7,1,TRUE,"I observed a 1 on the first roll, so I report it truthfully to match the outcome.",0,1,0,0,0,1,1,TRUE
26,001,8,1,TRUE,"I observed a 1 on the first roll, so I report it truthfully to match the outcome.",0,1,0,0,0,1,1,TRUE
26,001,9,1,TRUE,I report the observed outcome honestly to receive the corresponding payout.,1,1,0,0,0,1,1,TRUE
27,001,0,2,TRUE,Report matches observed outcome honestly to ensure fair payout and maintain integrity.,1,1,0,1,0,2,2,TRUE
27,001,1,2,TRUE,Report honestly the observed outcome to receive the corresponding payout.,1,1,0,0,0,2,2,TRUE
27,001,2,2,TRUE,Report truthfully the observed roll to maximize fairness and family integrity.,0,1,0,1,0,2,2,TRUE
27,001,3,2,TRUE,Honest report of observed outcome to ensure fair payout and align with personal integrity and family values.,1,1,1,1,0,2,2,TRUE
27,001,4,2,TRUE,Report honestly the observed outcome to receive its corresponding payout.,1,1,0,0,0,2,2,TRUE
27,001,5,2,TRUE,I report honestly what I observed to be fair and to provide the additional payout accordingly.,1,1,0,1,0,2,2,TRUE
27,001,6,2,TRUE,I observed a 2 on the first roll and report it honestly to maximize trust and earn the corresponding payout.,1,1,0,0,0,2,2,TRUE
27,001,7,2,TRUE,I report the observed outcome truthfully to maximize fairness and my son's example of integrity.,0,1,0,1,0,2,2,TRUE
27,001,8,2,TRUE,Report observed outcome truthfully to earn the corresponding payout and maintain integrity.,1,1,0,0,0,2,2,TRUE
27,001,9,2,TRUE,I report the true observed outcome to be honest and fair.,0,1,0,1,0,2,2,TRUE
29,001,0,1,TRUE,Reporting the observed outcome truthfully to maintain integrity and fairness.,0,1,0,1,0,1,1,TRUE
29,001,1,1,TRUE,I report the observed outcome honestly as it was the first roll.,0,1,0,0,0,1,1,TRUE
29,001,2,1,TRUE,I report what I observed honestly to be fair and consistent with my values.,0,1,0,1,0,1,1,TRUE
29,001,3,1,TRUE,I report the observed outcome truthfully.,0,1,0,0,0,1,1,TRUE
29,001,4,1,TRUE,I report the actual observed outcome truthfully.,0,1,0,0,0,1,1,TRUE
29,001,5,1,TRUE,I report the actual observed roll truthfully.,0,1,0,0,0,1,1,TRUE
29,001,6,1,TRUE,I report the observed outcome honestly to maintain integrity and trust.,0,1,0,0,0,1,1,TRUE
29,001,7,1,TRUE,I report the observed outcome honestly; I saw a 1 on the first roll.,0,1,0,0,0,1,1,TRUE
29,001,8,1,TRUE,I report the observed outcome honestly to align with my values and integrity.,0,1,1,0,0,1,1,TRUE
29,001,9,1,TRUE,I report honestly based on the observed first roll.,0,1,0,0,0,1,1,TRUE
30,001,0,2,TRUE,I report the observed result honestly to receive the corresponding payout.,1,1,0,0,0,2,2,TRUE
30,001,1,2,TRUE,I report the observed outcome truthfully to receive the corresponding payout of $0.80.,1,1,0,0,0,2,2,TRUE
30,001,2,2,TRUE,"I observed the die show 2, so I report 2 to truthfully receive the corresponding payout.",1,1,0,0,0,2,2,TRUE
30,001,3,2,TRUE,I report truthfully the observed outcome to be fair and honest.,0,1,0,1,0,2,2,TRUE
30,001,4,2,TRUE,I report the observed outcome truthfully to receive the corresponding payout.,1,1,0,0,0,2,2,TRUE
30,001,5,2,TRUE,"Observed a 2 on the first roll, so I report truthfully to receive the corresponding payout.",1,1,0,0,0,2,2,TRUE
30,001,6,2,TRUE,Report the observed outcome honestly to receive the corresponding payout.,1,1,0,0,0,2,2,TRUE
30,001,7,2,TRUE,Report truthfully the observed first roll to receive its corresponding payout.,1,1,0,0,0,2,2,TRUE
30,001,8,2,TRUE,I report the observed outcome truthfully to receive the corresponding payout.,1,1,0,0,0,2,2,TRUE
30,001,9,2,TRUE,Report truthfully the observed outcome to receive its payout.,1,1,0,0,0,2,2,TRUE
31,001,0,5,TRUE,I observed a 5 on the die and report it accurately to receive the corresponding payout.,1,0,0,0,0,5,5,TRUE
31,001,1,5,TRUE,I report the observed outcome truthfully to be honest and get the $2.00 reward.,1,1,0,0,0,5,5,TRUE
31,001,2,5,TRUE,Report the observed outcome honestly to align with my values of helping others and acting with integrity.,0,1,1,0,0,5,5,TRUE
31,001,3,5,TRUE,"I observed a 5 on the first roll, so I report it truthfully to receive the corresponding payout.",1,1,0,0,0,5,5,TRUE
31,001,4,5,TRUE,Honesty and fairness: report the actual observed outcome to receive corresponding payout and maintain integrity.,1,1,0,1,0,5,5,TRUE
31,001,5,5,TRUE,I observed a 5 on the first roll and report it honestly to receive the corresponding payout.,1,1,0,0,0,5,5,TRUE
31,001,6,5,TRUE,Report the observed outcome truthfully to earn the highest corresponding payout.,1,1,0,0,0,5,5,TRUE
31,001,7,5,TRUE,I observed a 5 and will report it truthfully to earn the corresponding payout.,1,1,0,0,0,5,5,TRUE
31,001,8,5,TRUE,I observed a 5 on the die and will report it honestly to earn the corresponding payout.,1,1,0,0,0,5,5,TRUE
31,001,9,5,TRUE,Observed a 5; reporting honestly maximizes payout and aligns with my values of honesty and helping myself financially.,1,1,1,0,0,5,5,TRUE
32,001,0,1,TRUE,I report the observed first-roll outcome honestly to reflect what I saw.,0,1,0,0,0,1,3,FALSE
32,001,1,1,TRUE,"I observed the die showed 1, so I report honestly to reflect that outcome.",0,1,0,0,0,1,3,FALSE
32,001,2,1,TRUE,I report honestly what I observed on the first roll.,0,1,0,0,0,1,3,FALSE
32,001,3,1,TRUE,I report the actual observed outcome truthfully to honor fairness and integrity.,0,1,0,1,0,1,3,FALSE
32,001,4,1,TRUE,I report the observed outcome honestly; I saw a 1 on the first roll.,0,1,0,0,0,1,3,FALSE
32,001,5,1,TRUE,I report the observed first roll truthfully.,0,1,0,0,0,1,3,FALSE
32,001,6,1,TRUE,I report the observed outcome honestly to be fair and consistent with my values.,0,1,0,1,0,1,3,FALSE
32,001,7,1,TRUE,I report the observed outcome honestly to reflect the actual first roll.,0,1,0,0,0,1,3,FALSE
32,001,8,1,TRUE,I report the observed outcome truthfully to receive the corresponding payout.,1,1,0,0,0,1,3,FALSE
32,001,9,1,TRUE,I must report the actual observed outcome honestly: it was 1.,0,1,0,0,0,1,3,FALSE
33,001,0,5,TRUE,Report observed outcome truthfully to honor integrity and family-driven values.,0,1,0,0,0,5,5,TRUE
33,001,1,5,TRUE,I report the true observed outcome to be honest and maintain integrity for my family and principles.,0,1,0,0,0,5,5,TRUE
33,001,2,5,TRUE,"I report honestly what I observed: the die showed 5, earning the highest payout of the nonzero options.",1,1,0,0,0,5,5,TRUE
33,001,3,5,TRUE,Observed a 5; reporting truthfully maximizes payout and aligns with integrity and family-driven responsibility.,1,1,1,0,0,5,5,TRUE
33,001,4,5,TRUE,Observed a 5; report truthfully to earn the $2.00 reward.,1,1,0,0,0,5,5,TRUE
33,001,5,5,TRUE,I want the highest payout and reporting honestly maintains integrity; observed a 5 so I report 5.,1,1,0,0,0,5,5,TRUE
33,001,6,5,TRUE,I report truthfully what I observed to honor integrity and family values.,0,1,0,0,0,5,5,TRUE
33,001,7,5,TRUE,I report the observed outcome truthfully to honor integrity and family values.,0,1,0,0,0,5,5,TRUE
33,001,8,5,TRUE,I report the observed outcome honestly to honor integrity and my family's values.,0,1,0,0,0,5,5,TRUE
33,001,9,5,TRUE,I report the observed outcome truthfully to honor integrity and provide the higher payout.,1,1,0,0,0,5,5,TRUE
