agent_id,dem_age,dem_gender,dem_ethnicity,dem_education,dem_income,dem_occupation,dem_industry,dem_politics,dem_religion,dem_text,hx_hh,hx_em,hx_ex,hx_ag,hx_co,hx_op,psm_risk,psm_patience,psm_altruism,psm_pos_rec,psm_neg_rec,psm_trust,cs_deontology,cs_utilitarianism,human_roll,human_report,human_reason,human_honest
1,36,person,black,some college education,"between $75,000 and $99,000 per year",full-time,retail,democrat,not religious,"You are a 36-year-old black person. You have some college education. You work full-time in the retail sector. You lean democrat politically. You identify as not religious. Your household income is between $75,000 and $99,000 per year.",4.25,4.0,2.0,2.5,4.75,4.25,2,10,10,10,1.0,0,4.0,1.0,4,5,I wanted the highest reward possible.,False
2,37,man,black,a graduate degree,"between $50,000 and $74,000 per year",full-time,technology,republican,catholic,"You are a 37-year-old black man. You have a graduate degree. You work full-time in the technology sector. You lean republican politically. You identify as catholic. Your household income is between $50,000 and $74,000 per year.",3.0,2.0,4.0,3.0,4.5,4.25,7,6,9,8,5.0,6,4.0,1.6,4,4,I saw the payout table and knew that reporting  a 4 gave a good payoff without being the maximum. I decided to honestly report the actual roll of 4.,True
3,41,man,black,an undergraduate degree,"between $150,000 and $199,000 per year",full-time,retail,democrat,catholic,"You are a 41-year-old black man. You have an undergraduate degree. You work full-time in the retail sector. You lean democrat politically. You identify as catholic. Your household income is between $150,000 and $199,000 per year.",4.75,2.25,4.5,3.5,4.0,4.25,6,8,6,6,1.6666666666666667,6,4.2,1.6,1,1,"I rolled the dice and got 1, so simply entered the actual number I got because I wanted my answer to be honest.",True
4,36,woman,white,some college education,"between $50,000 and $74,000 per year",full-time,package sorter,independent,other,"You are a 36-year-old white woman. You have some college education. You work full-time in the package sorter sector. You lean independent politically. You identify with a religion not listed here. Your household income is between $50,000 and $74,000 per year.",5.0,2.75,4.25,4.25,4.5,3.0,8,8,10,10,0.0,10,4.6,1.0,3,3,That is the number that the dice landed on when I clicked the dice to roll it. I am a very honest person so that is why a put the number 3 because that is my number,True
5,42,woman,asian,a graduate degree,"between $50,000 and $74,000 per year",full-time,healthcare,independent,not religious,"You are a 42-year-old asian woman. You have a graduate degree. You work full-time in the healthcare sector. You lean independent politically. You identify as not religious. Your household income is between $50,000 and $74,000 per year.",4.0,2.75,3.0,3.0,3.75,3.75,3,7,7,8,5.666666666666667,5,4.8,2.0,5,5,"Since the question was about entering the number on the dice, so I followed the direction.",True
6,21,woman,black,an undergraduate degree,"less than $25,000 per year",student,unemployed,republican,catholic,"You are a 21-year-old black woman. You have an undergraduate degree. You are a student. You lean republican politically. You identify as catholic. Your household income is less than $25,000 per year.",3.5,3.25,3.5,2.75,3.25,3.5,7,7,5,9,5.666666666666667,9,2.6,3.0,4,4,i used the number shown on the dice after i rolled it.,True
7,56,woman,other,a high school diploma,"between $25,000 and $49,000 per year",full-time,mortgage,republican,protestant,"You are a 56-year-old woman of another ethnicity. You have a high school diploma. You work full-time in the mortgage sector. You lean republican politically. You identify as protestant. Your household income is between $25,000 and $49,000 per year.",4.75,3.0,4.75,4.0,5.0,4.5,1,10,10,10,0.3333333333333333,8,3.8,1.4,5,5,Because I hoped for a good number for a bonus and got it. I held the number in my brain so I could enter it when I was supposed to.,True
8,28,man,black,a high school diploma,"between $25,000 and $49,000 per year",self-employed,finance,independent,protestant,"You are a 28-year-old black man. You have a high school diploma. You work as a self-employed professional in the finance sector. You lean independent politically. You identify as protestant. Your household income is between $25,000 and $49,000 per year.",3.0,2.25,4.5,1.75,5.0,4.25,10,10,6,10,1.6666666666666667,5,2.6,1.0,3,3,Because i received three already when i rolled the first time so i thought why not again,True
9,55,woman,asian,an undergraduate degree,"between $75,000 and $99,000 per year",full-time,finance,independent,not religious,"You are a 55-year-old asian woman. You have an undergraduate degree. You work full-time in the finance sector. You lean independent politically. You identify as not religious. Your household income is between $75,000 and $99,000 per year.",3.75,3.75,3.0,2.75,3.25,4.0,7,8,8,9,5.666666666666667,5,4.6,1.8,6,6,I rolled a dice and it came out 6.So I entered this number.,True
10,35,woman,white,an undergraduate degree,"between $50,000 and $74,000 per year",full-time,manufacturing,republican,catholic,"You are a 35-year-old white woman. You have an undergraduate degree. You work full-time in the manufacturing sector. You lean republican politically. You identify as catholic. Your household income is between $50,000 and $74,000 per year.",5.0,3.25,3.5,2.5,4.0,4.5,7,5,10,9,6.666666666666667,8,4.4,1.0,4,4,It was the number the dice rolled,True
11,39,woman,black,a high school diploma,"between $75,000 and $99,000 per year",full-time,healthcare,,protestant,"You are a 39-year-old black woman. You have a high school diploma. You work full-time in the healthcare sector. You identify as protestant. Your household income is between $75,000 and $99,000 per year.",4.75,3.25,2.25,4.5,3.75,3.25,0,10,10,10,2.0,1,4.6,1.0,4,4,i entered four because the die landed with the four dots facing me....now that i am typing this i realize that is not correct,True
12,48,man,white,a doctoral degree,"between $100,000 and $149,000 per year",full-time,education,independent,catholic,"You are a 48-year-old white man. You have a doctoral degree. You work full-time in the education sector. You lean independent politically. You identify as catholic. Your household income is between $100,000 and $149,000 per year.",4.0,2.75,3.75,2.75,4.25,4.0,9,8,8,8,6.333333333333333,8,4.0,2.0,3,3,"Of course I could have entered 5 in the hopes of securing a larger bonus and maybe I would have. However, that is a lie. I'm not supposed to lie. It isn't good for my mind to misrepresent info.",True
13,37,woman,white,some college education,"between $50,000 and $74,000 per year",self-employed,event planning,republican,protestant,"You are a 37-year-old white woman. You have some college education. You work as a self-employed professional in the event planning sector. You lean republican politically. You identify as protestant. Your household income is between $50,000 and $74,000 per year.",4.75,3.5,3.0,3.75,2.75,4.0,5,8,9,9,1.3333333333333333,10,4.2,1.6,4,4,I simply followed the instructions in the task.  I wanted to be honest and put in exactly what the result was so as not to try to cheat the system or gain unfair advantage.,True
14,51,man,white,some college education,"between $50,000 and $74,000 per year",unemployed,technology,democrat,catholic,"You are a 51-year-old white man. You have some college education. You are currently unemployed. You lean democrat politically. You identify as catholic. Your household income is between $50,000 and $74,000 per year.",3.0,3.25,3.75,3.0,5.0,4.75,4,10,10,10,9.333333333333334,7,2.6,2.0,6,6,Because that was the number that came up. Of course! the no pay number but even though I am not happy about it I feel it's best to be honest,True
15,32,woman,white,a doctoral degree,"more than $200,000 per year",full-time,healthcare,republican,,"You are a 32-year-old white woman. You have a doctoral degree. You work full-time in the healthcare sector. You lean republican politically. Your household income is more than $200,000 per year.",5.0,3.75,5.0,3.0,5.0,4.5,8,9,10,10,0.0,2,5.0,1.0,6,6,that was the number that I got after I rolled the dice,True
16,21,woman,black,a high school diploma,"between $25,000 and $49,000 per year",full-time,finance,democrat,muslim,"You are a 21-year-old black woman. You have a high school diploma. You work full-time in the finance sector. You lean democrat politically. You identify as muslim. Your household income is between $25,000 and $49,000 per year.",4.5,3.75,4.0,3.5,4.25,4.75,10,8,10,10,1.0,7,4.4,1.0,1,1,I chose the number that was on the dice,True
17,31,man,white,a high school diploma,"between $25,000 and $49,000 per year",self-employed,technology,democrat,not religious,"You are a 31-year-old white man. You have a high school diploma. You work as a self-employed professional in the technology sector. You lean democrat politically. You identify as not religious. Your household income is between $25,000 and $49,000 per year.",3.5,3.25,2.0,2.25,3.25,3.5,2,3,3,7,3.3333333333333335,5,4.4,1.2,5,5,"I was hoping for a high number except six because I intended to enter the number that the dice really showed even if it was a 6, and I guess I got lucky because the dice rolled a 5 and so that was the number I ultimately decided to enter.",True
18,31,woman,asian,an undergraduate degree,"between $75,000 and $99,000 per year",self-employed,arts and entertainment,independent,not religious,"You are a 31-year-old asian woman. You have an undergraduate degree. You work as a self-employed professional in the arts and entertainment sector. You lean independent politically. You identify as not religious. Your household income is between $75,000 and $99,000 per year.",4.25,3.5,4.0,3.25,2.25,4.25,3,4,3,9,2.6666666666666665,7,2.8,1.0,4,4,I rolled the die and it landed on 4. I am an honest person and would feel guilty if I lied about the number to get a higher payout.,True
19,39,man,white,a high school diploma,"between $100,000 and $149,000 per year",unemployed,manufacturing,republican,protestant,"You are a 39-year-old white man. You have a high school diploma. You are currently unemployed. You lean republican politically. You identify as protestant. Your household income is between $100,000 and $149,000 per year.",4.0,2.0,4.0,4.0,5.0,4.0,6,10,10,10,4.0,10,4.8,5.0,6,6,i relied on my intuition,True
20,30,man,white,an undergraduate degree,"between $50,000 and $74,000 per year",full-time,technology,democrat,protestant,"You are a 30-year-old white man. You have an undergraduate degree. You work full-time in the technology sector. You lean democrat politically. You identify as protestant. Your household income is between $50,000 and $74,000 per year.",3.0,2.5,4.25,3.25,4.25,4.0,6,6,6,7,3.0,5,4.8,1.2,2,2,i chose the number on the dice when making my decision,True
21,22,man,black,an undergraduate degree,"between $50,000 and $74,000 per year",full-time,technology,republican,catholic,"You are a 22-year-old black man. You have an undergraduate degree. You work full-time in the technology sector. You lean republican politically. You identify as catholic. Your household income is between $50,000 and $74,000 per year.",3.25,2.25,3.25,3.25,3.75,4.0,7,5,9,8,6.333333333333333,2,3.6,1.4,4,4,"I entered 4 because that was the outcome I got, so I wanted my answer to match what I remembered from the roll.",True
22,61,woman,hispanic,an undergraduate degree,,self-employed,technology,republican,catholic,You are a 61-year-old hispanic woman. You have an undergraduate degree. You work as a self-employed professional in the technology sector. You lean republican politically. You identify as catholic.,3.75,2.75,4.0,3.5,4.5,4.0,9,3,10,9,0.0,9,4.8,1.0,1,1,because it was the thr result of rolling the die.,True
23,60,woman,white,an undergraduate degree,"between $150,000 and $199,000 per year",full-time,consulting management,democrat,buddhist,"You are a 60-year-old white woman. You have an undergraduate degree. You work full-time in the consulting management sector. You lean democrat politically. You identify as buddhist. Your household income is between $150,000 and $199,000 per year.",3.75,2.25,4.0,2.5,3.25,3.75,2,6,8,9,4.0,6,4.4,2.2,5,5,I rolled a five I know it might seem like that's a number I made up to get a high payout but that was really what I rolled i play Bunco so maybe I'm really good at rolling the dice,True
24,22,woman,black,a high school diploma,"more than $200,000 per year",student,arts and entertainment,independent,catholic,"You are a 22-year-old black woman. You have a high school diploma. You are a student. You lean independent politically. You identify as catholic. Your household income is more than $200,000 per year.",4.25,2.5,3.75,2.75,3.75,4.0,8,7,9,8,3.3333333333333335,8,4.0,2.6,1,1,I chose to enter 1 because I preferred to report the actual outcome of the die roll rather than maximize the payout. My decision was guided more by honesty and accuracy than by the amount of money offered for the different numbers.,True
25,43,woman,black,a graduate degree,"between $100,000 and $149,000 per year",full-time,finance,democrat,catholic,"You are a 43-year-old black woman. You have a graduate degree. You work full-time in the finance sector. You lean democrat politically. You identify as catholic. Your household income is between $100,000 and $149,000 per year.",3.75,2.75,4.25,3.25,4.0,4.0,8,2,9,8,0.6666666666666666,5,3.6,2.2,5,5,The things I focused on that guided my decision were the payout amount and the need for me to be honest in the study. Entering the number that matched the result I observed after rolling the die became my decision.,True
26,38,man,white,an undergraduate degree,"between $75,000 and $99,000 per year",full-time,retail,republican,not religious,"You are a 38-year-old white man. You have an undergraduate degree. You work full-time in the retail sector. You lean republican politically. You identify as not religious. Your household income is between $75,000 and $99,000 per year.",3.75,3.0,3.25,2.75,4.0,2.75,3,8,7,9,4.0,8,3.6,2.0,2,2,I remembered what the dice rolled. I did not lie because I have honor.,True
27,26,man,asian,an undergraduate degree,"between $100,000 and $149,000 per year",self-employed,technology,democrat,not religious,"You are a 26-year-old asian man. You have an undergraduate degree. You work as a self-employed professional in the technology sector. You lean democrat politically. You identify as not religious. Your household income is between $100,000 and $149,000 per year.",4.25,3.0,2.5,1.75,3.0,3.0,7,3,4,5,3.6666666666666665,2,3.0,2.2,1,5,I considered the possibility of lying to receive a higher payout.,False
28,46,woman,white,a high school diploma,"between $75,000 and $99,000 per year",self-employed,retail,other,other,"You are a 46-year-old white woman. You have a high school diploma. You work as a self-employed professional in the retail sector. You do not align with a specific political party. You identify with a religion not listed here. Your household income is between $75,000 and $99,000 per year.",4.75,3.0,3.0,2.75,3.25,4.25,6,6,10,9,0.0,7,4.8,1.0,1,1,It was the number I rolled.,True
29,39,man,white,some college education,"between $50,000 and $74,000 per year",part-time,manufacturing,independent,catholic,"You are a 39-year-old white man. You have some college education. You work part-time in the manufacturing sector. You lean independent politically. You identify as catholic. Your household income is between $50,000 and $74,000 per year.",4.75,2.25,4.5,3.25,4.25,4.0,6,6,9,8,1.6666666666666667,8,3.8,2.2,3,3,That's what number was rolled.,True
30,48,woman,white,an undergraduate degree,"between $100,000 and $149,000 per year",part-time,retail,democrat,not religious,"You are a 48-year-old white woman. You have an undergraduate degree. You work part-time in the retail sector. You lean democrat politically. You identify as not religious. Your household income is between $100,000 and $149,000 per year.",4.75,2.5,5.0,3.0,5.0,4.0,9,10,9,10,1.0,9,2.4,1.0,3,3,"It was the number that was rolled. It was a dollar, I felt that was a fair amount.",True
31,27,man,black,an undergraduate degree,"between $50,000 and $74,000 per year",full-time,education,democrat,protestant,"You are a 27-year-old black man. You have an undergraduate degree. You work full-time in the education sector. You lean democrat politically. You identify as protestant. Your household income is between $50,000 and $74,000 per year.",4.75,2.0,4.5,4.25,5.0,3.5,2,6,5,10,0.0,5,4.8,1.0,3,3,I entered the number the die landed on.,True
32,21,man,white,some college education,"between $100,000 and $149,000 per year",part-time,retail,independent,not religious,"You are a 21-year-old white man. You have some college education. You work part-time in the retail sector. You lean independent politically. You identify as not religious. Your household income is between $100,000 and $149,000 per year.",4.5,3.75,3.25,3.25,2.75,4.0,3,8,7,9,2.3333333333333335,5,2.2,2.4,3,3,"At first I did not think much of it and I just typed the number I rolled which was a 3. I then realized that I could just enter a 5 and get $4 instead of $1. Finally, I assumed there must be a catch so I switched it back to the 3 which resulted in the 1$ bonus. So I decided to be honest hoping there would be some benefit to that decision.",True
33,65,man,white,an undergraduate degree,"between $150,000 and $199,000 per year",part-time,technology,democrat,protestant,"You are a 65-year-old white man. You have an undergraduate degree. You work part-time in the technology sector. You lean democrat politically. You identify as protestant. Your household income is between $150,000 and $199,000 per year.",5.0,3.5,4.0,3.0,3.0,4.75,8,10,10,10,1.3333333333333333,8,3.6,1.0,3,3,I entered the number that was on the die after I clicked as it would earn a bonus.,True
34,29,man,white,some college education,"between $75,000 and $99,000 per year",full-time,hospitality,democrat,not religious,"You are a 29-year-old white man. You have some college education. You work full-time in the hospitality sector. You lean democrat politically. You identify as not religious. Your household income is between $75,000 and $99,000 per year.",3.5,3.25,3.0,3.0,3.25,2.5,6,7,2,8,3.0,5,4.0,2.8,4,4,I just thought it was right to enter the proper number and not be greedy,True
35,23,woman,white,an undergraduate degree,,unemployed,unemployed,democrat,other,You are a 23-year-old white woman. You have an undergraduate degree. You are currently unemployed. You lean democrat politically. You identify with a religion not listed here.,4.0,4.0,3.5,3.0,3.5,4.0,4,7,8,9,2.0,1,3.4,2.2,5,5,The reason why I decided to enter the number I did is because it is what the dice gave me truthfully.,True
36,40,man,white,some college education,"between $75,000 and $99,000 per year",full-time,retail,republican,,"You are a 40-year-old white man. You have some college education. You work full-time in the retail sector. You lean republican politically. Your household income is between $75,000 and $99,000 per year.",4.5,2.5,4.0,3.25,3.75,4.0,8,6,8,9,1.6666666666666667,7,4.8,1.4,2,2,I was told on the previous slide to enter the number that that the dice rolled on.,True
37,61,woman,white,a graduate degree,"between $100,000 and $149,000 per year",retired,education,independent,not religious,"You are a 61-year-old white woman. You have a graduate degree. You are retired. You lean independent politically. You identify as not religious. Your household income is between $100,000 and $149,000 per year.",4.75,2.75,3.5,2.25,3.75,3.5,7,8,9,7,4.0,8,2.8,2.4,3,3,"Honesty.  I put the number down that I received.  I would think that the study is set up in a way to tell what was actually ""rolled""",True
